feature,length,true_h,pred_h,Udist,result_type
exon_1,15000,0.6,0.6067198231625027,0,average
exon_2,15000,1.2,inf,15000,average
exon_3,5000,1.0,inf,30000,average
exon_1,15000,0.6,0.6055235780259729,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6061577359554406,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6076119408589847,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6064368983830409,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6061161510617062,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6081263486301712,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6062216146885224,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6072161338744256,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6067248248634219,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6070630052833407,0,oneIter
exon_2,15000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,0.6,0.6032422952534391,0,average
exon_2,22500,1.2,inf,15000,average
exon_3,5000,1.0,inf,37500,average
exon_1,15000,0.6,0.6031702226058212,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6051508820391055,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6034543443046559,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6045717115556675,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6016566988040477,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6022212203143031,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6048150621356335,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.601931116411895,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6036111091276601,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.6018405852356008,0,oneIter
exon_2,22500,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,0.6,0.5764157905963583,0,average
exon_2,30000,1.2,inf,15000,average
exon_3,5000,1.0,inf,45000,average
exon_1,15000,0.6,0.5760479836460984,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5755692950398534,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.576649752353419,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5777751133583866,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5761119028538062,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5768919776246034,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5763472839462449,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5761352441209937,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5742702139689354,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,0.6,0.5783591390512419,0,oneIter
exon_2,30000,1.2,inf,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6154673315547126,0,average
exon_2,15000,1.2,inf,22500,average
exon_3,5000,1.0,inf,37500,average
exon_1,22500,0.6,0.6153549463532708,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6149975811779079,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6152098120373235,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6158008233816777,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6151904905177109,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6155040641875159,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6141787966058496,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6144759659507315,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6169818967336048,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.6169789386015329,0,oneIter
exon_2,15000,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,0.6,0.612419705815286,0,average
exon_2,22500,1.2,inf,22500,average
exon_3,5000,1.0,inf,45000,average
exon_1,22500,0.6,0.610701566836858,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.610723016027749,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6164185618931404,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6149766945467784,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6124257596960947,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6169648555732535,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6102905510443972,0,oneIter
exon_2,22500,1.2,inf,22500,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,0.6,0.6135882103960985,0,oneIter
