feature,length,true_h,pred_h,Udist,result_type
exon_1,6000,3.6,4.806245275639833,0,average
exon_2,6000,1.2,1.1409906197812847,6000,average
exon_3,5000,1.0,0.9715756780672651,12000,average
exon_1,6000,3.6,4.805934640696271,0,oneIter
exon_2,6000,1.2,1.140506881839334,6000,oneIter
exon_3,5000,1.0,0.9717233286004704,12000,oneIter
exon_1,6000,3.6,4.778056033733155,0,oneIter
exon_2,6000,1.2,1.1421347345036834,6000,oneIter
exon_3,5000,1.0,0.9724262667052183,12000,oneIter
exon_1,6000,3.6,4.809652362664211,0,oneIter
exon_2,6000,1.2,1.1396302071119022,6000,oneIter
exon_3,5000,1.0,0.9709937592095111,12000,oneIter
exon_1,6000,3.6,4.810601239107764,0,oneIter
exon_2,6000,1.2,1.1410161368210756,6000,oneIter
exon_3,5000,1.0,0.9717479519082807,12000,oneIter
exon_1,6000,3.6,4.841462461304338,0,oneIter
exon_2,6000,1.2,1.1402361131436083,6000,oneIter
exon_3,5000,1.0,0.9706886018920019,12000,oneIter
exon_1,6000,3.6,4.797310494163529,0,oneIter
exon_2,6000,1.2,1.1412167305198393,6000,oneIter
exon_3,5000,1.0,0.9715730212818613,12000,oneIter
exon_1,6000,3.6,4.78059016922188,0,oneIter
exon_2,6000,1.2,1.1423055248401948,6000,oneIter
exon_3,5000,1.0,0.9712797839191304,12000,oneIter
exon_1,6000,3.6,4.811821203240139,0,oneIter
exon_2,6000,1.2,1.1413374282783606,6000,oneIter
exon_3,5000,1.0,0.9706293251903627,12000,oneIter
exon_1,6000,3.6,4.798071884982558,0,oneIter
exon_2,6000,1.2,1.1408037527117043,6000,oneIter
exon_3,5000,1.0,0.9729522556761652,12000,oneIter
exon_1,6000,3.6,4.828952267284493,0,oneIter
exon_2,6000,1.2,1.140718688043146,6000,oneIter
exon_3,5000,1.0,0.9717424862896487,12000,oneIter
exon_1,6000,3.6,3.0562447170985423,0,average
exon_2,12000,1.2,1.2915337519417207,6000,average
exon_3,5000,1.0,0.9095241192494846,18000,average
exon_1,6000,3.6,3.067832584088432,0,oneIter
exon_2,12000,1.2,1.289968938007803,6000,oneIter
exon_3,5000,1.0,0.9072410709731867,18000,oneIter
exon_1,6000,3.6,3.094837381955049,0,oneIter
exon_2,12000,1.2,1.2880047424986167,6000,oneIter
exon_3,5000,1.0,0.9156818195551433,18000,oneIter
exon_1,6000,3.6,3.057675584756677,0,oneIter
exon_2,12000,1.2,1.2934894890341626,6000,oneIter
exon_3,5000,1.0,0.9066030114724727,18000,oneIter
exon_1,6000,3.6,3.066536299075836,0,oneIter
exon_2,12000,1.2,1.2913246561524565,6000,oneIter
exon_3,5000,1.0,0.9102177092489849,18000,oneIter
exon_1,6000,3.6,3.0157044912801116,0,oneIter
exon_2,12000,1.2,1.2974132395923534,6000,oneIter
exon_3,5000,1.0,0.905683249901582,18000,oneIter
exon_1,6000,3.6,3.05580990104473,0,oneIter
exon_2,12000,1.2,1.2908074032662071,6000,oneIter
exon_3,5000,1.0,0.9066541386066934,18000,oneIter
exon_1,6000,3.6,3.0780387469290535,0,oneIter
exon_2,12000,1.2,1.2895624298457868,6000,oneIter
exon_3,5000,1.0,0.9142875135643029,18000,oneIter
exon_1,6000,3.6,3.0559804594009545,0,oneIter
exon_2,12000,1.2,1.2901579904266256,6000,oneIter
exon_3,5000,1.0,0.9135174988431289,18000,oneIter
exon_1,6000,3.6,3.0233797511483216,0,oneIter
exon_2,12000,1.2,1.2941566526508879,6000,oneIter
exon_3,5000,1.0,0.9019660220287049,18000,oneIter
exon_1,6000,3.6,3.0466519713062548,0,oneIter
exon_2,12000,1.2,1.2904519779423074,6000,oneIter
exon_3,5000,1.0,0.9133891583006465,18000,oneIter
exon_1,9000,3.6,4.436720025838967,0,average
exon_2,6000,1.2,1.1879254238289285,9000,average
exon_3,5000,1.0,0.9241210029696014,15000,average
exon_1,9000,3.6,4.435750076756189,0,oneIter
exon_2,6000,1.2,1.1884802518085467,9000,oneIter
exon_3,5000,1.0,0.9253762306239429,15000,oneIter
exon_1,9000,3.6,4.4155638154600325,0,oneIter
