feature,length,true_h,pred_h,Udist,result_type
exon_1,15000,3.6,3.6168279923633575,0,average
exon_2,15000,1.2,1.1902614659821558,15000,average
exon_3,5000,1.0,inf,30000,average
exon_1,15000,3.6,3.6085798527108373,0,oneIter
exon_2,15000,1.2,1.1919951151542043,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.6236288615271595,0,oneIter
exon_2,15000,1.2,1.1898976905252865,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.6207567518203554,0,oneIter
exon_2,15000,1.2,1.1906429780413619,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.607475176269475,0,oneIter
exon_2,15000,1.2,1.1895933421212066,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.6123043363897103,0,oneIter
exon_2,15000,1.2,1.1902075267591565,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.6128872335343787,0,oneIter
exon_2,15000,1.2,1.1910076401034568,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.6247460862132193,0,oneIter
exon_2,15000,1.2,1.1893673120701211,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.62540080765877,0,oneIter
exon_2,15000,1.2,1.1886689606868206,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.617438265030533,0,oneIter
exon_2,15000,1.2,1.1906800773133381,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.6150625524791384,0,oneIter
exon_2,15000,1.2,1.1905540170466071,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,3.6,3.238723080194351,0,average
exon_2,22500,1.2,1.3265794985211028,15000,average
exon_3,5000,1.0,inf,37500,average
exon_1,15000,3.6,3.2356755525645187,0,oneIter
exon_2,22500,1.2,1.32596121767866,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.2464112930468176,0,oneIter
exon_2,22500,1.2,1.323669390151922,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.2408740513878507,0,oneIter
exon_2,22500,1.2,1.3256726711403592,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.2354670729266695,0,oneIter
exon_2,22500,1.2,1.331127529791392,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.2371424032670957,0,oneIter
exon_2,22500,1.2,1.326851965724444,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.234714822692372,0,oneIter
exon_2,22500,1.2,1.3270204193616237,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.247396032265058,0,oneIter
exon_2,22500,1.2,1.3212294245876293,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.2359184805837216,0,oneIter
exon_2,22500,1.2,1.328079273960666,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.240118400803261,0,oneIter
exon_2,22500,1.2,1.3275012469084553,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.2335126924061486,0,oneIter
exon_2,22500,1.2,1.3286818459058742,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,3.6,3.6202477302139764,0,average
exon_2,30000,1.2,1.176017385805509,15000,average
exon_3,5000,1.0,inf,45000,average
exon_1,15000,3.6,3.6142330619797995,0,oneIter
exon_2,30000,1.2,1.1771251437248649,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.6199153776936788,0,oneIter
exon_2,30000,1.2,1.1781320028538982,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.6210022301527807,0,oneIter
exon_2,30000,1.2,1.176205453551551,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.623454077493418,0,oneIter
exon_2,30000,1.2,1.1768458668217119,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.621935145455533,0,oneIter
exon_2,30000,1.2,1.176207361093319,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.6208204195671003,0,oneIter
exon_2,30000,1.2,1.1756864874450663,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.6220721593519456,0,oneIter
exon_2,30000,1.2,1.1745212275384649,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.6130589553998806,0,oneIter
exon_2,30000,1.2,1.1760579157822528,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.6221786619940173,0,oneIter
exon_2,30000,1.2,1.1743607576716282,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,3.6,3.623807213051615,0,oneIter
exon_2,30000,1.2,1.1750316415723314,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,3.6,3.269570226577073,0,average
exon_2,15000,1.2,1.2808437926658085,22500,average
exon_3,5000,1.0,inf,37500,average
exon_1,22500,3.6,3.2667148955960057,0,oneIter
exon_2,15000,1.2,1.2809241755789744,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,3.6,3.2725883111493803,0,oneIter
exon_2,15000,1.2,1.2822988406558036,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,22500,3.6,3.267063956077661,0,oneIter
