feature,length,true_h,pred_h,Udist,result_type
exon_1,15000,1.2,1.211638971599005,0,average
exon_2,15000,3.6,3.568728498878686,15000,average
exon_3,5000,1.0,inf,30000,average
exon_1,15000,1.2,1.2112927649725087,0,oneIter
exon_2,15000,3.6,3.571972666443706,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2116636131204195,0,oneIter
exon_2,15000,3.6,3.5692272312223308,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2109182183445888,0,oneIter
exon_2,15000,3.6,3.597263349066789,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2112716779478407,0,oneIter
exon_2,15000,3.6,3.578838444537688,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2132034547781636,0,oneIter
exon_2,15000,3.6,3.5865039897271602,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2118004393049726,0,oneIter
exon_2,15000,3.6,3.5599983485178455,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.211511905988747,0,oneIter
exon_2,15000,3.6,3.5235054223098667,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2116869157404595,0,oneIter
exon_2,15000,3.6,3.5603637888610287,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2111014274859595,0,oneIter
exon_2,15000,3.6,3.5706733434657068,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.2119392983063921,0,oneIter
exon_2,15000,3.6,3.5689384046347317,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,1.2,1.156723815296245,0,average
exon_2,22500,3.6,4.69018548521668,15000,average
exon_3,5000,1.0,inf,37500,average
exon_1,15000,1.2,1.155652277164141,0,oneIter
exon_2,22500,3.6,4.666136604645542,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1556374217019063,0,oneIter
exon_2,22500,3.6,4.7357593330418,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1565463664315065,0,oneIter
exon_2,22500,3.6,4.645184107116673,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1567566087954693,0,oneIter
exon_2,22500,3.6,4.718538863657323,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1589249634225152,0,oneIter
exon_2,22500,3.6,4.633795770794281,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.157394725841833,0,oneIter
exon_2,22500,3.6,4.625579636804027,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1554645674145945,0,oneIter
exon_2,22500,3.6,4.748305277650959,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1567553479754944,0,oneIter
exon_2,22500,3.6,4.714246430449493,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.157141299324865,0,oneIter
exon_2,22500,3.6,4.68991977387315,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1569645748901236,0,oneIter
exon_2,22500,3.6,4.724389054133539,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,1.2,1.1876813766603713,0,average
exon_2,30000,3.6,2.8168379867791153,15000,average
exon_3,5000,1.0,inf,45000,average
exon_1,15000,1.2,1.1868421055642804,0,oneIter
exon_2,30000,3.6,2.818787453755895,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1884237508841873,0,oneIter
exon_2,30000,3.6,2.7906676124291865,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1885172887312674,0,oneIter
exon_2,30000,3.6,2.744413638176052,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.188304536207577,0,oneIter
exon_2,30000,3.6,2.80681355092384,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1859658619328142,0,oneIter
exon_2,30000,3.6,2.848964346246045,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1877391238997934,0,oneIter
exon_2,30000,3.6,2.835055394548901,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1873678415213527,0,oneIter
exon_2,30000,3.6,2.7880272084411386,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1875848477462303,0,oneIter
exon_2,30000,3.6,2.861164711553278,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.188011862357306,0,oneIter
exon_2,30000,3.6,2.8197854512132694,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,1.2,1.1880565477589058,0,oneIter
exon_2,30000,3.6,2.8547005005035513,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,22500,1.2,1.2301272620726684,0,average
exon_2,15000,3.6,inf,22500,average
exon_3,5000,1.0,inf,37500,average
exon_1,22500,1.2,1.2307972077916618,0,oneIter
exon_2,15000,3.6,inf,22500,oneIter
exon_3,5000,1.0,inf,37500,oneIter
