feature,start,end,length,txrate,is_intron,intron_h,is_PAS,PAS_h,time
exon_1,0,1500,1500,1.0,False,0,False,0,1.5
exon_2,1500,2000,500,0.6,False,0,False,0,0.8333333333333334
exon_3,2000,7000,5000,1.0,False,0,False,0,5.0
PAS,7000,7001,1,1.0,False,0,True,5,0.001
RTR,7001,12001,5000,1.0,False,0,False,0,5.0
