feature,start,end,length,txrate,is_intron,intron_h,is_PAS,PAS_h,time
exon_1,0,1000,1000,1.0,False,0,False,0,1.0
exon_2,1000,2500,1500,2.4,False,0,False,0,0.625
exon_3,2500,7500,5000,1.0,False,0,False,0,5.0
PAS,7500,7501,1,1.0,False,0,True,5,0.001
RTR,7501,12501,5000,1.0,False,0,False,0,5.0
