feature,start,end,length,txrate,is_intron,intron_h,is_PAS,PAS_h,time
exon_1,0,6000,6000,3.6,False,0,False,0,1.6666666666666665
exon_2,6000,15000,9000,1.2,False,0,False,0,7.5
exon_3,15000,20000,5000,1.0,False,0,False,0,5.0
PAS,20000,20001,1,1.0,False,0,True,5,0.001
RTR,20001,25001,5000,1.0,False,0,False,0,5.0
