feature,start,end,length,txrate,is_intron,intron_h,is_PAS,PAS_h,time
exon_1,0,1000,1000,1.0,False,0,False,0,1.0
exon_2,1000,2000,1000,3.6,False,0,False,0,0.2777777777777778
exon_3,2000,7000,5000,1.0,False,0,False,0,5.0
PAS,7000,7001,1,1.0,False,0,True,5,0.001
RTR,7001,12001,5000,1.0,False,0,False,0,5.0
