feature,length,true_h,pred_h,Udist,result_type
exon_1,2000,1.0,1.1296746668688242,0,average
exon_2,2000,3.6,2.8246985216798626,2000,average
exon_3,5000,1.0,1.0345985716992114,4000,average
exon_1,2000,1.0,1.132453728295196,0,oneIter
exon_2,2000,3.6,2.7749107077945814,2000,oneIter
exon_3,5000,1.0,1.0388301148550794,4000,oneIter
exon_1,2000,1.0,1.095315618619272,0,oneIter
exon_2,2000,3.6,2.894762950631873,2000,oneIter
exon_3,5000,1.0,1.0328185978273272,4000,oneIter
exon_1,2000,1.0,1.1422011912672898,0,oneIter
exon_2,2000,3.6,2.7614691114354897,2000,oneIter
exon_3,5000,1.0,1.035468153179749,4000,oneIter
exon_1,2000,1.0,1.1429519237593853,0,oneIter
exon_2,2000,3.6,2.9353427894073936,2000,oneIter
exon_3,5000,1.0,1.0280312011697321,4000,oneIter
exon_1,2000,1.0,1.116870368770575,0,oneIter
exon_2,2000,3.6,2.826922282269209,2000,oneIter
exon_3,5000,1.0,1.0363563100434514,4000,oneIter
exon_1,2000,1.0,1.1293721628433773,0,oneIter
exon_2,2000,3.6,2.7572142049440034,2000,oneIter
exon_3,5000,1.0,1.0390959193930625,4000,oneIter
exon_1,2000,1.0,1.1718379432626598,0,oneIter
exon_2,2000,3.6,2.837424465307232,2000,oneIter
exon_3,5000,1.0,1.03072088608919,4000,oneIter
exon_1,2000,1.0,1.1420069694726487,0,oneIter
exon_2,2000,3.6,2.8257496482562168,2000,oneIter
exon_3,5000,1.0,1.0332050539571775,4000,oneIter
exon_1,2000,1.0,1.1168130488648642,0,oneIter
exon_2,2000,3.6,2.795340253122906,2000,oneIter
exon_3,5000,1.0,1.037382414847394,4000,oneIter
exon_1,2000,1.0,1.106923713532976,0,oneIter
exon_2,2000,3.6,2.837848803629717,2000,oneIter
exon_3,5000,1.0,1.0340770656299498,4000,oneIter
exon_1,2000,1.0,1.0398995103716397,0,average
exon_2,3500,3.6,3.232317164693281,2000,average
exon_3,5000,1.0,1.008718641086978,5500,average
exon_1,2000,1.0,1.0434498357699784,0,oneIter
exon_2,3500,3.6,3.2050803424815655,2000,oneIter
exon_3,5000,1.0,1.0099687926857022,5500,oneIter
exon_1,2000,1.0,1.036615559644845,0,oneIter
exon_2,3500,3.6,3.267055082244312,2000,oneIter
exon_3,5000,1.0,1.0086161169271095,5500,oneIter
exon_1,2000,1.0,1.020598490328774,0,oneIter
exon_2,3500,3.6,3.269022012169633,2000,oneIter
exon_3,5000,1.0,1.0074254166589196,5500,oneIter
exon_1,2000,1.0,1.0436039590171924,0,oneIter
exon_2,3500,3.6,3.2126907237868387,2000,oneIter
exon_3,5000,1.0,1.009709165793025,5500,oneIter
exon_1,2000,1.0,1.018636358654188,0,oneIter
exon_2,3500,3.6,3.2410066188832607,2000,oneIter
exon_3,5000,1.0,1.0086675146614494,5500,oneIter
exon_1,2000,1.0,1.0499589424434335,0,oneIter
exon_2,3500,3.6,3.1808889722413434,2000,oneIter
exon_3,5000,1.0,1.009960265528077,5500,oneIter
exon_1,2000,1.0,1.0436456336365658,0,oneIter
exon_2,3500,3.6,3.260043735011951,2000,oneIter
exon_3,5000,1.0,1.0083271435527035,5500,oneIter
exon_1,2000,1.0,1.0286697499582422,0,oneIter
exon_2,3500,3.6,3.2403578210379607,2000,oneIter
exon_3,5000,1.0,1.007561886427077,5500,oneIter
exon_1,2000,1.0,1.0631502989647588,0,oneIter
exon_2,3500,3.6,3.2010604903085316,2000,oneIter
exon_3,5000,1.0,1.009995085119495,5500,oneIter
exon_1,2000,1.0,1.0506662752984206,0,oneIter
exon_2,3500,3.6,3.2459658487674155,2000,oneIter
exon_3,5000,1.0,1.0069550235162212,5500,oneIter
exon_1,2000,1.0,1.5181864800776863,0,average
exon_2,5000,3.6,2.48568957521018,2000,average
exon_3,5000,1.0,1.0666857244666235,7000,average
exon_1,2000,1.0,1.4694076607156337,0,oneIter
exon_2,5000,3.6,2.4897588263194415,2000,oneIter
exon_3,5000,1.0,1.0679160850973188,7000,oneIter
exon_1,2000,1.0,1.5350341816407536,0,oneIter
exon_2,5000,3.6,2.4600061293993933,2000,oneIter
exon_3,5000,1.0,1.069491414937451,7000,oneIter
exon_1,2000,1.0,1.5361678427035843,0,oneIter
exon_2,5000,3.6,2.4795950430568507,2000,oneIter
exon_3,5000,1.0,1.0672644938332772,7000,oneIter
exon_1,2000,1.0,1.5093273159555523,0,oneIter
exon_2,5000,3.6,2.504151656896585,2000,oneIter
exon_3,5000,1.0,1.0624039573707529,7000,oneIter
exon_1,2000,1.0,1.5361752479691162,0,oneIter
exon_2,5000,3.6,2.475401356187084,2000,oneIter
exon_3,5000,1.0,1.0685554008745721,7000,oneIter
exon_1,2000,1.0,1.527491864222959,0,oneIter
exon_2,5000,3.6,2.4893562883690667,2000,oneIter
exon_3,5000,1.0,1.0662022635237842,7000,oneIter
exon_1,2000,1.0,1.5028968662805655,0,oneIter
exon_2,5000,3.6,2.462645676102258,2000,oneIter
exon_3,5000,1.0,1.071605321612092,7000,oneIter
exon_1,2000,1.0,1.5039602402485708,0,oneIter
exon_2,5000,3.6,2.4972973020878872,2000,oneIter
exon_3,5000,1.0,1.0647883993423055,7000,oneIter
exon_1,2000,1.0,1.5474972587945959,0,oneIter
exon_2,5000,3.6,2.512409596424483,2000,oneIter
exon_3,5000,1.0,1.0605168667234441,7000,oneIter
exon_1,2000,1.0,1.513906322245533,0,oneIter
exon_2,5000,3.6,2.486273877258753,2000,oneIter
exon_3,5000,1.0,1.068113041351236,7000,oneIter
exon_1,3500,1.0,0.8368867159598479,0,average
exon_2,2000,3.6,4.9187552386100615,3500,average
exon_3,5000,1.0,0.9646693328933279,5500,average
exon_1,3500,1.0,0.8354263072651301,0,oneIter
exon_2,2000,3.6,5.1204329319412825,3500,oneIter
exon_3,5000,1.0,0.9620695984553409,5500,oneIter
exon_1,3500,1.0,0.8405120323571472,0,oneIter
