feature,length,true_h,pred_h,Udist,result_type
exon_1,15000,2.4,2.323008374648538,0,average
exon_2,15000,0.6,0.6077065787458437,15000,average
exon_3,5000,1.0,inf,30000,average
exon_1,15000,2.4,2.320651902378302,0,oneIter
exon_2,15000,0.6,0.6091564717357549,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3213177133741185,0,oneIter
exon_2,15000,0.6,0.6080798214207276,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3216015090743665,0,oneIter
exon_2,15000,0.6,0.606584579915393,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.325315069948454,0,oneIter
exon_2,15000,0.6,0.6068471280197799,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3249461429053757,0,oneIter
exon_2,15000,0.6,0.607536845267366,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3256934820173343,0,oneIter
exon_2,15000,0.6,0.6068200713894548,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3246239820475836,0,oneIter
exon_2,15000,0.6,0.6072251133332005,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.325977799199896,0,oneIter
exon_2,15000,0.6,0.6066461248801917,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3201486684809365,0,oneIter
exon_2,15000,0.6,0.6087812540990576,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.3198074770590136,0,oneIter
exon_2,15000,0.6,0.6093883773975116,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4556568427027305,0,average
exon_2,22500,0.6,0.6114357842874457,15000,average
exon_3,5000,1.0,inf,37500,average
exon_1,15000,2.4,2.4533792648026904,0,oneIter
exon_2,22500,0.6,0.6116620570925515,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.4547495101895183,0,oneIter
exon_2,22500,0.6,0.6108819519949662,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.456150546165963,0,oneIter
exon_2,22500,0.6,0.6109644216336231,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.453586342340785,0,oneIter
exon_2,22500,0.6,0.612079355332162,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.4574163351567844,0,oneIter
exon_2,22500,0.6,0.6119835372301212,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.456873865967082,0,oneIter
exon_2,22500,0.6,0.6108994287191691,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.453603966567298,0,oneIter
exon_2,22500,0.6,0.611579155103159,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.456449599131326,0,oneIter
exon_2,22500,0.6,0.6117564633830572,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.459979847367622,0,oneIter
exon_2,22500,0.6,0.6107988020775065,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.4543791493382394,0,oneIter
exon_2,22500,0.6,0.611752670308141,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.3929920324838165,0,average
exon_2,30000,0.6,0.59704406072894,15000,average
exon_3,5000,1.0,inf,45000,average
exon_1,15000,2.4,2.3932402254659153,0,oneIter
exon_2,30000,0.6,0.5977902992799534,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,2.4,2.392280058200617,0,oneIter
exon_2,30000,0.6,0.5977994409329975,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
exon_1,15000,2.4,2.3956689429903153,0,oneIter
exon_2,30000,0.6,0.5968992292041653,15000,oneIter
exon_3,5000,1.0,inf,45000,oneIter
