feature,length,true_h,pred_h,Udist,result_type
exon_1,2000,2.4,1.1239378103647408,0,average
exon_2,2000,0.6,0.6540520293432021,2000,average
exon_3,5000,1.0,1.033580610481615,4000,average
exon_1,2000,2.4,1.1268289873129806,0,oneIter
exon_2,2000,0.6,0.6538286243621225,2000,oneIter
exon_3,5000,1.0,1.032708441212699,4000,oneIter
exon_1,2000,2.4,1.123735951355266,0,oneIter
exon_2,2000,0.6,0.6556263635068009,2000,oneIter
exon_3,5000,1.0,1.0315544799306906,4000,oneIter
exon_1,2000,2.4,1.1230175545157064,0,oneIter
exon_2,2000,0.6,0.6529217874754759,2000,oneIter
exon_3,5000,1.0,1.0324174758878075,4000,oneIter
exon_1,2000,2.4,1.1357062537191671,0,oneIter
exon_2,2000,0.6,0.6523863996145705,2000,oneIter
exon_3,5000,1.0,1.0328760301950937,4000,oneIter
exon_1,2000,2.4,1.1016483655672438,0,oneIter
exon_2,2000,0.6,0.6566812856460343,2000,oneIter
exon_3,5000,1.0,1.0328630242426016,4000,oneIter
exon_1,2000,2.4,1.1507199777127106,0,oneIter
exon_2,2000,0.6,0.6502713088487088,2000,oneIter
exon_3,5000,1.0,1.0360930667283645,4000,oneIter
exon_1,2000,2.4,1.1224079945443632,0,oneIter
exon_2,2000,0.6,0.6538596983563434,2000,oneIter
exon_3,5000,1.0,1.0366578283234031,4000,oneIter
exon_1,2000,2.4,1.1279353495663993,0,oneIter
exon_2,2000,0.6,0.6535967141849399,2000,oneIter
exon_3,5000,1.0,1.0338893487492828,4000,oneIter
exon_1,2000,2.4,1.1434976603231288,0,oneIter
exon_2,2000,0.6,0.6547824377455148,2000,oneIter
exon_3,5000,1.0,1.03325003512522,4000,oneIter
exon_1,2000,2.4,1.0838800090304437,0,oneIter
exon_2,2000,0.6,0.6565656736915106,2000,oneIter
exon_3,5000,1.0,1.033496374420985,4000,oneIter
exon_1,2000,2.4,3.479611843952631,0,average
exon_2,3500,0.6,0.5975512733401408,2000,average
exon_3,5000,1.0,0.9826186830833759,5500,average
exon_1,2000,2.4,3.457983776033595,0,oneIter
exon_2,3500,0.6,0.5972544262697437,2000,oneIter
exon_3,5000,1.0,0.9835686965666149,5500,oneIter
exon_1,2000,2.4,3.496193452572049,0,oneIter
exon_2,3500,0.6,0.5976593303546127,2000,oneIter
exon_3,5000,1.0,0.9823450232592943,5500,oneIter
exon_1,2000,2.4,3.402719102742372,0,oneIter
exon_2,3500,0.6,0.5979626229821452,2000,oneIter
exon_3,5000,1.0,0.9822040712227642,5500,oneIter
exon_1,2000,2.4,3.4555638832181033,0,oneIter
exon_2,3500,0.6,0.5980509786970127,2000,oneIter
exon_3,5000,1.0,0.9812279256069744,5500,oneIter
exon_1,2000,2.4,3.3986687869385466,0,oneIter
exon_2,3500,0.6,0.5979610975968177,2000,oneIter
exon_3,5000,1.0,0.9828921254586027,5500,oneIter
exon_1,2000,2.4,3.6080954174976267,0,oneIter
exon_2,3500,0.6,0.5972168783713491,2000,oneIter
exon_3,5000,1.0,0.9823596386694788,5500,oneIter
exon_1,2000,2.4,3.4572381337494664,0,oneIter
exon_2,3500,0.6,0.5975769363539039,2000,oneIter
exon_3,5000,1.0,0.9842479763128951,5500,oneIter
exon_1,2000,2.4,3.538834608597699,0,oneIter
exon_2,3500,0.6,0.5969878462853337,2000,oneIter
exon_3,5000,1.0,0.9831001845800894,5500,oneIter
exon_1,2000,2.4,3.626147726530421,0,oneIter
exon_2,3500,0.6,0.5964174146265676,2000,oneIter
exon_3,5000,1.0,0.9836658040599369,5500,oneIter
exon_1,2000,2.4,3.354673551646436,0,oneIter
exon_2,3500,0.6,0.598425201863922,2000,oneIter
exon_3,5000,1.0,0.9805753850971087,5500,oneIter
exon_1,2000,2.4,1.248242781191537,0,average
exon_2,5000,0.6,0.6344417109445089,2000,average
exon_3,5000,1.0,1.0647517468093164,7000,average
exon_1,2000,2.4,1.257376062517957,0,oneIter
exon_2,5000,0.6,0.6345646089673804,2000,oneIter
exon_3,5000,1.0,1.0541957972508262,7000,oneIter
exon_1,2000,2.4,1.2405893640060413,0,oneIter
exon_2,5000,0.6,0.6349798975677077,2000,oneIter
exon_3,5000,1.0,1.062688049713844,7000,oneIter
exon_1,2000,2.4,1.2454627278687906,0,oneIter
exon_2,5000,0.6,0.6340795658753664,2000,oneIter
exon_3,5000,1.0,1.069990877217163,7000,oneIter
exon_1,2000,2.4,1.2614147143625298,0,oneIter
exon_2,5000,0.6,0.6323896799123532,2000,oneIter
exon_3,5000,1.0,1.0503909482916196,7000,oneIter
exon_1,2000,2.4,1.2654745271805605,0,oneIter
exon_2,5000,0.6,0.6340772188943566,2000,oneIter
exon_3,5000,1.0,1.0764395686202406,7000,oneIter
exon_1,2000,2.4,1.2344444749822927,0,oneIter
exon_2,5000,0.6,0.6348674456459957,2000,oneIter
exon_3,5000,1.0,1.0715312450857986,7000,oneIter
exon_1,2000,2.4,1.2555253678444707,0,oneIter
exon_2,5000,0.6,0.6340243730427043,2000,oneIter
exon_3,5000,1.0,1.0524728918269792,7000,oneIter
exon_1,2000,2.4,1.2375491712276747,0,oneIter
exon_2,5000,0.6,0.635184333164685,2000,oneIter
exon_3,5000,1.0,1.0683587495928177,7000,oneIter
exon_1,2000,2.4,1.225515848967778,0,oneIter
exon_2,5000,0.6,0.6364388035402355,2000,oneIter
exon_3,5000,1.0,1.065400739865893,7000,oneIter
exon_1,2000,2.4,1.2590755529572761,0,oneIter
exon_2,5000,0.6,0.6338111828343032,2000,oneIter
exon_3,5000,1.0,1.0760486006279828,7000,oneIter
exon_1,3500,2.4,1.7296520384567484,0,average
exon_2,2000,0.6,0.5594779091268783,3500,average
exon_3,5000,1.0,1.402510579899535,5500,average
exon_1,3500,2.4,1.7152943496152258,0,oneIter
exon_2,2000,0.6,0.5628015102572664,3500,oneIter
exon_3,5000,1.0,1.4052312638190871,5500,oneIter
exon_1,3500,2.4,1.6738476404471978,0,oneIter
exon_2,2000,0.6,0.5625933738784596,3500,oneIter
exon_3,5000,1.0,1.405545031163261,5500,oneIter
exon_1,3500,2.4,1.7462075546302365,0,oneIter
exon_2,2000,0.6,0.5559765779451873,3500,oneIter
exon_3,5000,1.0,1.4198862565296142,5500,oneIter
exon_1,3500,2.4,1.6704269653110666,0,oneIter
exon_2,2000,0.6,0.5646800944172631,3500,oneIter
exon_3,5000,1.0,1.3985458707802563,5500,oneIter
exon_1,3500,2.4,1.6805157224592728,0,oneIter
exon_2,2000,0.6,0.5656185853190636,3500,oneIter
exon_3,5000,1.0,1.3666174550350865,5500,oneIter
exon_1,3500,2.4,1.7208331121779363,0,oneIter
exon_2,2000,0.6,0.5623670994286528,3500,oneIter
exon_3,5000,1.0,1.3987069713210956,5500,oneIter
exon_1,3500,2.4,1.8343382758760813,0,oneIter
exon_2,2000,0.6,0.5489017011105273,3500,oneIter
exon_3,5000,1.0,1.4281693872446817,5500,oneIter
exon_1,3500,2.4,1.718386600802567,0,oneIter
exon_2,2000,0.6,0.5602127476678247,3500,oneIter
exon_3,5000,1.0,1.3878048196794635,5500,oneIter
exon_1,3500,2.4,1.7927579765066808,0,oneIter
exon_2,2000,0.6,0.5549110708104892,3500,oneIter
exon_3,5000,1.0,1.4173423471669202,5500,oneIter
exon_1,3500,2.4,1.743912186741221,0,oneIter
exon_2,2000,0.6,0.5567163304340506,3500,oneIter
exon_3,5000,1.0,1.3972563962558884,5500,oneIter
exon_1,3500,2.4,1.6687541234128465,0,average
exon_2,3500,0.6,0.6982128560703083,3500,average
exon_3,5000,1.0,1.079127729226243,7000,average
exon_1,3500,2.4,1.6678481559048295,0,oneIter
exon_2,3500,0.6,0.698145359453057,3500,oneIter
exon_3,5000,1.0,1.0806911374281736,7000,oneIter
exon_1,3500,2.4,1.675291053016061,0,oneIter
exon_2,3500,0.6,0.6972536738994779,3500,oneIter
exon_3,5000,1.0,1.0808195693409324,7000,oneIter
exon_1,3500,2.4,1.664869929502266,0,oneIter
exon_2,3500,0.6,0.6979756130379108,3500,oneIter
exon_3,5000,1.0,1.0816261604710202,7000,oneIter
exon_1,3500,2.4,1.6834997814736299,0,oneIter
exon_2,3500,0.6,0.696831733851525,3500,oneIter
exon_3,5000,1.0,1.0807535539925013,7000,oneIter
exon_1,3500,2.4,1.6698243303667173,0,oneIter
exon_2,3500,0.6,0.6968654441707763,3500,oneIter
exon_3,5000,1.0,1.0796264765764443,7000,oneIter
exon_1,3500,2.4,1.6675075745759256,0,oneIter
exon_2,3500,0.6,0.6991003359372551,3500,oneIter
exon_3,5000,1.0,1.0778318389549215,7000,oneIter
exon_1,3500,2.4,1.6594456288718242,0,oneIter
exon_2,3500,0.6,0.6991554398490127,3500,oneIter
exon_3,5000,1.0,1.0784693636965343,7000,oneIter
exon_1,3500,2.4,1.6522884078319477,0,oneIter
exon_2,3500,0.6,0.7004242328563248,3500,oneIter
exon_3,5000,1.0,1.0756864530744787,7000,oneIter
exon_1,3500,2.4,1.673122967919284,0,oneIter
exon_2,3500,0.6,0.6992439039234469,3500,oneIter
exon_3,5000,1.0,1.0739978422474687,7000,oneIter
exon_1,3500,2.4,1.6738434046659783,0,oneIter
exon_2,3500,0.6,0.6971328237242961,3500,oneIter
exon_3,5000,1.0,1.0817748964799534,7000,oneIter
exon_1,3500,2.4,3.564207623819434,0,average
exon_2,5000,0.6,0.5442079190268889,3500,average
exon_3,5000,1.0,1.247099728188097,8500,average
exon_1,3500,2.4,3.65377684018252,0,oneIter
exon_2,5000,0.6,0.5428081099455339,3500,oneIter
exon_3,5000,1.0,1.2454677849415692,8500,oneIter
exon_1,3500,2.4,3.2748506170113436,0,oneIter
exon_2,5000,0.6,0.5474312609465983,3500,oneIter
exon_3,5000,1.0,1.2417763704181592,8500,oneIter
exon_1,3500,2.4,3.6385449210508627,0,oneIter
exon_2,5000,0.6,0.5424867641945067,3500,oneIter
exon_3,5000,1.0,1.2504636978764485,8500,oneIter
exon_1,3500,2.4,3.3807477119701863,0,oneIter
exon_2,5000,0.6,0.5466952085818424,3500,oneIter
exon_3,5000,1.0,1.2490478012302806,8500,oneIter
exon_1,3500,2.4,3.2793342095453237,0,oneIter
exon_2,5000,0.6,0.5477883845567597,3500,oneIter
exon_3,5000,1.0,1.2378952816062876,8500,oneIter
exon_1,3500,2.4,3.6728145518654114,0,oneIter
exon_2,5000,0.6,0.5435715543952299,3500,oneIter
exon_3,5000,1.0,1.2385639096440706,8500,oneIter
exon_1,3500,2.4,3.651918750784983,0,oneIter
exon_2,5000,0.6,0.5421917481684845,3500,oneIter
exon_3,5000,1.0,1.2488671573030343,8500,oneIter
exon_1,3500,2.4,3.738660431339769,0,oneIter
exon_2,5000,0.6,0.5431060693334674,3500,oneIter
exon_3,5000,1.0,1.2521308369417998,8500,oneIter
exon_1,3500,2.4,3.731486643794864,0,oneIter
exon_2,5000,0.6,0.5423899866460762,3500,oneIter
exon_3,5000,1.0,1.261716032768194,8500,oneIter
exon_1,3500,2.4,3.6199415606490812,0,oneIter
exon_2,5000,0.6,0.5436101035003904,3500,oneIter
exon_3,5000,1.0,1.245068409151126,8500,oneIter
exon_1,5000,2.4,2.1847395384960606,0,average
exon_2,2000,0.6,0.6013875320543722,5000,average
exon_3,5000,1.0,1.041247603821747,7000,average
exon_1,5000,2.4,2.200926139094136,0,oneIter
exon_2,2000,0.6,0.5993310012368728,5000,oneIter
exon_3,5000,1.0,1.0455627942141597,7000,oneIter
exon_1,5000,2.4,2.1953242338371286,0,oneIter
exon_2,2000,0.6,0.6010968664609392,5000,oneIter
exon_3,5000,1.0,1.0370082913970617,7000,oneIter
exon_1,5000,2.4,2.1999266412231235,0,oneIter
exon_2,2000,0.6,0.6002400935058373,5000,oneIter
exon_3,5000,1.0,1.0414910268183386,7000,oneIter
exon_1,5000,2.4,2.1770196713454015,0,oneIter
exon_2,2000,0.6,0.6025929218762505,5000,oneIter
exon_3,5000,1.0,1.0413594383616105,7000,oneIter
exon_1,5000,2.4,2.1896574894956222,0,oneIter
exon_2,2000,0.6,0.6011048626941656,5000,oneIter
exon_3,5000,1.0,1.04120452609975,7000,oneIter
exon_1,5000,2.4,2.180539493326127,0,oneIter
exon_2,2000,0.6,0.6015375665693342,5000,oneIter
exon_3,5000,1.0,1.0419751884728699,7000,oneIter
exon_1,5000,2.4,2.1950010836396587,0,oneIter
exon_2,2000,0.6,0.60005955107002,5000,oneIter
exon_3,5000,1.0,1.0421914879854919,7000,oneIter
exon_1,5000,2.4,2.1783510124599346,0,oneIter
exon_2,2000,0.6,0.6015137530919109,5000,oneIter
exon_3,5000,1.0,1.0419307808219231,7000,oneIter
exon_1,5000,2.4,2.14800479038727,0,oneIter
exon_2,2000,0.6,0.6048478656161409,5000,oneIter
exon_3,5000,1.0,1.0383056127321177,7000,oneIter
exon_1,5000,2.4,2.1826448301522015,0,oneIter
exon_2,2000,0.6,0.6015508384222521,5000,oneIter
exon_3,5000,1.0,1.0414468913141472,7000,oneIter
exon_1,5000,2.4,1.4343803377430098,0,average
exon_2,3500,0.6,0.6568024946653002,5000,average
exon_3,5000,1.0,0.9266139798306706,8500,average
exon_1,5000,2.4,1.440767086661996,0,oneIter
exon_2,3500,0.6,0.6544767028925703,5000,oneIter
exon_3,5000,1.0,0.9263745051788675,8500,oneIter
exon_1,5000,2.4,1.4292335262128182,0,oneIter
exon_2,3500,0.6,0.6565773419546459,5000,oneIter
exon_3,5000,1.0,0.9294451157440871,8500,oneIter
exon_1,5000,2.4,1.4382928329506868,0,oneIter
exon_2,3500,0.6,0.657774588868591,5000,oneIter
exon_3,5000,1.0,0.9255447445447804,8500,oneIter
exon_1,5000,2.4,1.4375340290856176,0,oneIter
exon_2,3500,0.6,0.6555985153384729,5000,oneIter
exon_3,5000,1.0,0.9263918470997056,8500,oneIter
exon_1,5000,2.4,1.434124988690551,0,oneIter
exon_2,3500,0.6,0.6560250740535504,5000,oneIter
exon_3,5000,1.0,0.9279147824724036,8500,oneIter
exon_1,5000,2.4,1.4326324622707167,0,oneIter
exon_2,3500,0.6,0.657739969151314,5000,oneIter
exon_3,5000,1.0,0.9283792017300824,8500,oneIter
exon_1,5000,2.4,1.420885944090527,0,oneIter
exon_2,3500,0.6,0.6587675148170758,5000,oneIter
exon_3,5000,1.0,0.9229864440454332,8500,oneIter
exon_1,5000,2.4,1.4288789099565573,0,oneIter
exon_2,3500,0.6,0.656699237625666,5000,oneIter
exon_3,5000,1.0,0.9260913351353504,8500,oneIter
exon_1,5000,2.4,1.4408348247969098,0,oneIter
exon_2,3500,0.6,0.6580664139446664,5000,oneIter
exon_3,5000,1.0,0.925328848416253,8500,oneIter
exon_1,5000,2.4,1.4406187727137194,0,oneIter
exon_2,3500,0.6,0.6562995880064487,5000,oneIter
exon_3,5000,1.0,0.9276829739397442,8500,oneIter
exon_1,5000,2.4,2.031233144412437,0,average
exon_2,5000,0.6,0.6139569748864101,5000,average
exon_3,5000,1.0,1.0206098337960403,10000,average
exon_1,5000,2.4,2.0478410830716482,0,oneIter
exon_2,5000,0.6,0.6111633056130371,5000,oneIter
exon_3,5000,1.0,1.0237916482330283,10000,oneIter
exon_1,5000,2.4,2.039377960162283,0,oneIter
exon_2,5000,0.6,0.6129503178858603,5000,oneIter
exon_3,5000,1.0,1.0223766328409896,10000,oneIter
exon_1,5000,2.4,2.0113806503533,0,oneIter
exon_2,5000,0.6,0.61432480289314,5000,oneIter
exon_3,5000,1.0,1.0186621708072343,10000,oneIter
exon_1,5000,2.4,2.0357831209757853,0,oneIter
exon_2,5000,0.6,0.6123270029713856,5000,oneIter
exon_3,5000,1.0,1.022595708068663,10000,oneIter
exon_1,5000,2.4,2.0258903766574528,0,oneIter
exon_2,5000,0.6,0.6166653740866178,5000,oneIter
exon_3,5000,1.0,1.017034915053745,10000,oneIter
exon_1,5000,2.4,2.033982605422815,0,oneIter
exon_2,5000,0.6,0.6142438983097697,5000,oneIter
exon_3,5000,1.0,1.019708029822202,10000,oneIter
exon_1,5000,2.4,2.018473229351465,0,oneIter
exon_2,5000,0.6,0.6153403421127009,5000,oneIter
exon_3,5000,1.0,1.0169945736885613,10000,oneIter
exon_1,5000,2.4,2.011536696395517,0,oneIter
exon_2,5000,0.6,0.6164414629832544,5000,oneIter
exon_3,5000,1.0,1.0180040994469075,10000,oneIter
exon_1,5000,2.4,2.0564270910686857,0,oneIter
exon_2,5000,0.6,0.6125675653946528,5000,oneIter
exon_3,5000,1.0,1.024200273874696,10000,oneIter
exon_1,5000,2.4,2.0316386306654155,0,oneIter
exon_2,5000,0.6,0.6135456766136823,5000,oneIter
exon_3,5000,1.0,1.0227302861243759,10000,oneIter
