feature,length,true_h,pred_h,Udist,result_type
exon_1,500,2.4,0.7134298602308473,0,average
exon_2,500,0.6,0.339342651057948,500,average
exon_3,5000,1.0,1.0309229797516468,1000,average
exon_1,500,2.4,0.7390188076203017,0,oneIter
exon_2,500,0.6,0.3368574100997048,500,oneIter
exon_3,5000,1.0,1.027997041757676,1000,oneIter
exon_1,500,2.4,0.6936018316194995,0,oneIter
exon_2,500,0.6,0.34253179997454913,500,oneIter
exon_3,5000,1.0,1.0327884345452765,1000,oneIter
exon_1,500,2.4,0.8838763382800539,0,oneIter
exon_2,500,0.6,0.3229931888792075,500,oneIter
exon_3,5000,1.0,1.0322545028912347,1000,oneIter
exon_1,500,2.4,0.6142677410318951,0,oneIter
exon_2,500,0.6,0.3511158017150029,500,oneIter
exon_3,5000,1.0,1.0282148200120438,1000,oneIter
exon_1,500,2.4,0.6577839493858041,0,oneIter
exon_2,500,0.6,0.3360261563077978,500,oneIter
exon_3,5000,1.0,1.0346641607336768,1000,oneIter
exon_1,500,2.4,0.5776130080950738,0,oneIter
exon_2,500,0.6,0.3682668270945784,500,oneIter
exon_3,5000,1.0,1.0268545237979962,1000,oneIter
exon_1,500,2.4,0.8107744420059044,0,oneIter
exon_2,500,0.6,0.326658279099309,500,oneIter
exon_3,5000,1.0,1.031903158023523,1000,oneIter
exon_1,500,2.4,0.7843157497217115,0,oneIter
exon_2,500,0.6,0.3351571170113498,500,oneIter
exon_3,5000,1.0,1.0305967640188258,1000,oneIter
exon_1,500,2.4,0.711737845740984,0,oneIter
exon_2,500,0.6,0.3460263607682955,500,oneIter
exon_3,5000,1.0,1.0299852190885637,1000,oneIter
exon_1,500,2.4,0.6613088888072451,0,oneIter
exon_2,500,0.6,0.3277935696296853,500,oneIter
exon_3,5000,1.0,1.0339711726476526,1000,oneIter
exon_1,500,2.4,0.5491507849842606,0,average
exon_2,1500,0.6,0.476743575225266,500,average
exon_3,5000,1.0,0.8963204875533666,2000,average
exon_1,500,2.4,0.5590165656903974,0,oneIter
exon_2,1500,0.6,0.47678540366973393,500,oneIter
exon_3,5000,1.0,0.894292391288322,2000,oneIter
exon_1,500,2.4,0.5440320419521188,0,oneIter
exon_2,1500,0.6,0.4762497399916891,500,oneIter
exon_3,5000,1.0,0.8984921056103601,2000,oneIter
exon_1,500,2.4,0.5463788552387602,0,oneIter
exon_2,1500,0.6,0.47589751392167684,500,oneIter
exon_3,5000,1.0,0.8958232054105515,2000,oneIter
exon_1,500,2.4,0.5275536910197699,0,oneIter
exon_2,1500,0.6,0.47807294829744834,500,oneIter
exon_3,5000,1.0,0.8956392361817143,2000,oneIter
exon_1,500,2.4,0.5684528345081256,0,oneIter
exon_2,1500,0.6,0.4752624979063785,500,oneIter
exon_3,5000,1.0,0.8986206867737948,2000,oneIter
exon_1,500,2.4,0.5195848187241896,0,oneIter
exon_2,1500,0.6,0.48081171411826856,500,oneIter
exon_3,5000,1.0,0.8931770083570058,2000,oneIter
exon_1,500,2.4,0.5737149552001034,0,oneIter
exon_2,1500,0.6,0.47495244082138394,500,oneIter
exon_3,5000,1.0,0.8974446943125773,2000,oneIter
exon_1,500,2.4,0.5378214466204448,0,oneIter
exon_2,1500,0.6,0.4786835723672227,500,oneIter
exon_3,5000,1.0,0.8922263807776855,2000,oneIter
exon_1,500,2.4,0.5727369401125063,0,oneIter
exon_2,1500,0.6,0.47616614892115333,500,oneIter
exon_3,5000,1.0,0.9000543296415141,2000,oneIter
exon_1,500,2.4,0.5422157007761919,0,oneIter
exon_2,1500,0.6,0.4745537722377035,500,oneIter
exon_3,5000,1.0,0.8974348371801393,2000,oneIter
exon_1,1000,2.4,1.4748884177693644,0,average
exon_2,500,0.6,0.9325879396926955,1000,average
exon_3,5000,1.0,1.051542699954994,1500,average
exon_1,1000,2.4,1.454258252196787,0,oneIter
exon_2,500,0.6,0.9569134392072457,1000,oneIter
exon_3,5000,1.0,1.0483187279797597,1500,oneIter
exon_1,1000,2.4,1.4755443733778733,0,oneIter
exon_2,500,0.6,0.9619573620852377,1000,oneIter
exon_3,5000,1.0,1.0463827705308208,1500,oneIter
exon_1,1000,2.4,1.458272476830101,0,oneIter
exon_2,500,0.6,0.8809585217365515,1000,oneIter
exon_3,5000,1.0,1.060082324137379,1500,oneIter
exon_1,1000,2.4,1.4686057797296765,0,oneIter
exon_2,500,0.6,0.9396964810055783,1000,oneIter
exon_3,5000,1.0,1.0515587462282483,1500,oneIter
exon_1,1000,2.4,1.5288478604528097,0,oneIter
exon_2,500,0.6,0.9558516743503185,1000,oneIter
exon_3,5000,1.0,1.0471561695711502,1500,oneIter
exon_1,1000,2.4,1.4955949970304672,0,oneIter
exon_2,500,0.6,0.9032623073743308,1000,oneIter
exon_3,5000,1.0,1.0546312497553423,1500,oneIter
exon_1,1000,2.4,1.4832599388513759,0,oneIter
exon_2,500,0.6,0.8880861387524724,1000,oneIter
exon_3,5000,1.0,1.0566048620354471,1500,oneIter
exon_1,1000,2.4,1.4128860580177685,0,oneIter
exon_2,500,0.6,0.9789166508077101,1000,oneIter
exon_3,5000,1.0,1.0470289771257277,1500,oneIter
exon_1,1000,2.4,1.4624196768256605,0,oneIter
exon_2,500,0.6,0.9237586866806387,1000,oneIter
exon_3,5000,1.0,1.0524277229268555,1500,oneIter
exon_1,1000,2.4,1.5091947643811272,0,oneIter
exon_2,500,0.6,0.9364781349268722,1000,oneIter
exon_3,5000,1.0,1.0512354492592066,1500,oneIter
exon_1,1000,2.4,2.099135895355397,0,average
exon_2,1000,0.6,0.572015207313327,1000,average
exon_3,5000,1.0,0.9523247841309332,2000,average
exon_1,1000,2.4,1.9437452861522064,0,oneIter
exon_2,1000,0.6,0.5813998652649561,1000,oneIter
exon_3,5000,1.0,0.9511589025266698,2000,oneIter
exon_1,1000,2.4,2.071832316678009,0,oneIter
exon_2,1000,0.6,0.5690658687215921,1000,oneIter
exon_3,5000,1.0,0.9539949660997694,2000,oneIter
exon_1,1000,2.4,2.3926622460639293,0,oneIter
exon_2,1000,0.6,0.5620309243241328,1000,oneIter
exon_3,5000,1.0,0.9522739277520768,2000,oneIter
exon_1,1000,2.4,2.071599808190825,0,oneIter
exon_2,1000,0.6,0.5734784983818604,1000,oneIter
exon_3,5000,1.0,0.9522350384702973,2000,oneIter
exon_1,1000,2.4,2.2203056844656097,0,oneIter
exon_2,1000,0.6,0.5713081808286741,1000,oneIter
exon_3,5000,1.0,0.9509505727293357,2000,oneIter
exon_1,1000,2.4,1.9547930893570162,0,oneIter
exon_2,1000,0.6,0.5757885694232043,1000,oneIter
exon_3,5000,1.0,0.9501924260977417,2000,oneIter
exon_1,1000,2.4,2.0559814553569176,0,oneIter
exon_2,1000,0.6,0.5708617278684333,1000,oneIter
exon_3,5000,1.0,0.9547362180005949,2000,oneIter
exon_1,1000,2.4,2.1373904371639365,0,oneIter
exon_2,1000,0.6,0.5686623180394585,1000,oneIter
exon_3,5000,1.0,0.9511365776943113,2000,oneIter
exon_1,1000,2.4,1.9088607829853395,0,oneIter
exon_2,1000,0.6,0.5798369721347203,1000,oneIter
exon_3,5000,1.0,0.9521053176407279,2000,oneIter
exon_1,1000,2.4,2.2341878471401797,0,oneIter
exon_2,1000,0.6,0.5677191481462359,1000,oneIter
exon_3,5000,1.0,0.9544638942978094,2000,oneIter
exon_1,1000,2.4,2.081451921679545e+30,0,average
exon_2,1500,0.6,0.4058926820582404,1000,average
exon_3,5000,1.0,0.9750500168509183,2500,average
exon_1,1000,2.4,4.44545963915653e+27,0,oneIter
exon_2,1500,0.6,0.406983931565647,1000,oneIter
exon_3,5000,1.0,0.9815156877259043,2500,oneIter
exon_1,1000,2.4,646816948494410.4,0,oneIter
exon_2,1500,0.6,0.4050305775981806,1000,oneIter
exon_3,5000,1.0,0.9757222279758757,2500,oneIter
