feature,length,true_h,pred_h,Udist,result_type
exon_1,15000,2.4,2.467769486706819,0,average
exon_2,15000,1.2,1.1716034172684697,15000,average
exon_3,5000,1.0,inf,30000,average
exon_1,15000,2.4,2.4677203003757393,0,oneIter
exon_2,15000,1.2,1.1736456359091672,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4685066371638533,0,oneIter
exon_2,15000,1.2,1.1724169770138617,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.467520576953554,0,oneIter
exon_2,15000,1.2,1.1680508347388314,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4723736734645225,0,oneIter
exon_2,15000,1.2,1.1719484975884287,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4679981575742964,0,oneIter
exon_2,15000,1.2,1.1717078032717823,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4652152472470577,0,oneIter
exon_2,15000,1.2,1.1710912088369998,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.467536586527748,0,oneIter
exon_2,15000,1.2,1.172140489113615,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.463743272140276,0,oneIter
exon_2,15000,1.2,1.1718899749906881,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4702547288463257,0,oneIter
exon_2,15000,1.2,1.169929475311982,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.4668256867748157,0,oneIter
exon_2,15000,1.2,1.1732132759093397,15000,oneIter
exon_3,5000,1.0,inf,30000,oneIter
exon_1,15000,2.4,2.2096722211127355,0,average
exon_2,22500,1.2,1.3578573919924297,15000,average
exon_3,5000,1.0,inf,37500,average
exon_1,15000,2.4,2.208563995438324,0,oneIter
exon_2,22500,1.2,1.3543386021305546,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.2126645110004244,0,oneIter
exon_2,22500,1.2,1.358220525613033,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.2146754111207803,0,oneIter
exon_2,22500,1.2,1.3527945237842585,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.211661481190799,0,oneIter
exon_2,22500,1.2,1.3578249489780811,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.209467132928519,0,oneIter
exon_2,22500,1.2,1.3635920292869794,15000,oneIter
exon_3,5000,1.0,inf,37500,oneIter
exon_1,15000,2.4,2.2055503489436568,0,oneIter
