feature,start,end,length,txrate,is_intron,intron_h,is_PAS,PAS_h,time
exon_1,0,15000,15000,3.6,False,0,False,0,4.166666666666667
exon_2,15000,45000,30000,2.4,False,0,False,0,12.5
exon_3,45000,50000,5000,1.0,False,0,False,0,5.0
PAS,50000,50001,1,1.0,False,0,True,5,0.001
RTR,50001,55001,5000,1.0,False,0,False,0,5.0
