feature,length,true_h,pred_h,Udist,result_type
exon_1,2000,3.6,3.230921988048868,0,average
exon_2,2000,0.6,0.5600391552375661,2000,average
exon_3,5000,1.0,1.0203579745454114,4000,average
exon_1,2000,3.6,3.2600231761410448,0,oneIter
exon_2,2000,0.6,0.5592134317777903,2000,oneIter
exon_3,5000,1.0,1.0196440125012152,4000,oneIter
exon_1,2000,3.6,3.277297664410754,0,oneIter
exon_2,2000,0.6,0.559868097555703,2000,oneIter
exon_3,5000,1.0,1.0183770124167422,4000,oneIter
exon_1,2000,3.6,3.367433110644627,0,oneIter
exon_2,2000,0.6,0.5568289374403074,2000,oneIter
exon_3,5000,1.0,1.0229001763775505,4000,oneIter
exon_1,2000,3.6,3.506497822179565,0,oneIter
exon_2,2000,0.6,0.5557353983571861,2000,oneIter
exon_3,5000,1.0,1.0153897775385645,4000,oneIter
exon_1,2000,3.6,3.127449331357657,0,oneIter
exon_2,2000,0.6,0.560846981915656,2000,oneIter
exon_3,5000,1.0,1.0245997682661043,4000,oneIter
exon_1,2000,3.6,3.3979427327216976,0,oneIter
exon_2,2000,0.6,0.5569648868770251,2000,oneIter
exon_3,5000,1.0,1.0216139951235568,4000,oneIter
exon_1,2000,3.6,2.971709216262339,0,oneIter
exon_2,2000,0.6,0.5650589968568758,2000,oneIter
exon_3,5000,1.0,1.0203153820288824,4000,oneIter
exon_1,2000,3.6,3.186834434024519,0,oneIter
exon_2,2000,0.6,0.5607528382172446,2000,oneIter
exon_3,5000,1.0,1.0197307628613734,4000,oneIter
exon_1,2000,3.6,3.0206402517121504,0,oneIter
exon_2,2000,0.6,0.5650805787775274,2000,oneIter
exon_3,5000,1.0,1.0181404683583566,4000,oneIter
exon_1,2000,3.6,3.193392141034332,0,oneIter
exon_2,2000,0.6,0.560041404600346,2000,oneIter
exon_3,5000,1.0,1.0228683899817685,4000,oneIter
exon_1,2000,3.6,1.247429899262924,0,average
exon_2,3500,0.6,0.6424273384260752,2000,average
exon_3,5000,1.0,0.9342678523767488,5500,average
exon_1,2000,3.6,1.24333319865015,0,oneIter
exon_2,3500,0.6,0.6432364993449394,2000,oneIter
exon_3,5000,1.0,0.9315634251963824,5500,oneIter
exon_1,2000,3.6,1.2664661611699606,0,oneIter
exon_2,3500,0.6,0.6428639138643778,2000,oneIter
exon_3,5000,1.0,0.9322926225330359,5500,oneIter
exon_1,2000,3.6,1.2133050527534954,0,oneIter
exon_2,3500,0.6,0.6401596372227308,2000,oneIter
exon_3,5000,1.0,0.9345818739264472,5500,oneIter
exon_1,2000,3.6,1.2842365837565737,0,oneIter
exon_2,3500,0.6,0.6397085254944553,2000,oneIter
